"entity_id","en","cs_cz","ru_il","fr_ca","sv_se","fr_be","fr_ch","he_il","es_us","ko_kr","en_ca","pl_pl","de_at","en_gb","sv_fi","it_it","de_de","en_au","fi_fi","pt_pt","ar_il","tr_tr","es_es","nl_be","fr_fr","hu_hu","nl_nl"
"ld39758-q","The suspension ….<br/><br>
Not assessable feeling in mouth","Suspenze vyvolává pocit, který lze popsat jako ... Pocit v ústech nelze vyhodnotit ","Суспензия ощущается как... Ощущения во рту не поддаются оценке ","La suspension est… Sensation dans la bouche non évaluable ","Suspensionen ... Kan inte bedöma känslan i munnen.","La suspension donne une ... Sensation dans la bouche 
Je ne sais pas 
","La suspension…. Sensation dans la bouche non évaluable ","התרחיף …. התחושה בפה לא ניתנת להערכה ","La suspensión ... No se puede evaluar la sensación en la boca ","현탁액은... 입안의 느낌을 평가할 수 없음","The suspension ….
Not assessable feeling in mouth","Zawiesina… Wrażenie w ustach niemożliwe do oceny","Die Suspension … Gefühl im Mund nicht bewertbar ","The suspension ….
Not assessable feeling in mouth","Suspensionen ... Jag kan inte beskriva munkänslan","La sospensione... Sensazione in bocca non valutabile ","Die Suspension … Gefühl im Mund nicht bewertbar ","The suspension ….
Not assessable feeling in mouth","Suspensio... Ei arvioitavissa oleva suutuntuma ","A suspensão... Sensação na boa não avaliável ","المعلق... لم استطع تقييم الشعور بالفم","Süspansiyon .... Ağızda bıraktığı his değerlendirilemiyor ","La suspensión produce una.... Sensación en boca no evaluable ","De suspensie ... Kan ik niet zeggen ","Le médicament …. Autre sensation dans la bouche","A szuszpenzió... Nem értékelhető érzés a szájban ","Het drankje (suspensie)…. Niet te beoordelen gevoel in de mond "
"ld39758-ld39758_i3b4ba4-c","<p>Yes</p>","Ano   ","Да   ","Oui   ","Ja","Oui   ","Oui   ","כן","Sí ","예","Yes","Tak","Ja","Yes","Ja","Sí ","Ja","Yes","Kyllä   ","Sim","نعم","Evet  ","Sí ","Ja","Oui   ","Igen","Ja"
"ld39758-ld39758_f948c36-c","<p>No</p>","Ne","Нет","Non","Nej","Non","Non","לא","No","아니요","No","Nie","Nein","No","Nej","No","Nein","No","Ei","Não","لا","Hayır","No","Nee","Non","Nem","Nee"
"j375416-q","The suspension ….<br/><br>
Other feeling in mouth","Suspenze vyvolává pocit, který lze popsat jako ... jiný pocit v ústech","Суспензия ощущается как... Другие ощущения","La suspension est… Autre sensation dans la bouche","Suspensionen ... Ger en annan känsla i munnen","La suspension donne une ... Autre sensation dans la bouche","La suspension…. Autre sensation dans la bouche","התרחיף …. תחושה אחרת בפה","La suspensión ... Deja otra sensación en la boca","현탁액은... 그 외 다른 느낌","The suspension ….
Other feeling in mouth","Zawiesina… Inne wrażenie w ustach","Die Suspension … Anderes Gefühl im Mund","The suspension ….
Other feeling in mouth","Suspensionen ... Annan typ av munkänsla","La sospensione... Dà un’altra sensazione in bocca","Die Suspension … Anderes Gefühl im Mund","The suspension ….
Other feeling in mouth","Suspensio... Muunlainen suutuntuma","A suspensão... Outra sensação na boca","المعلق... شعور آخر بالفم","Süspansiyon .... Ağızda başka bir his bırakıyor","La suspensión produce una.... Otra sensación en la boca","De suspensie ... Ander gevoel in de mond","Le médicament …. Sensation dans la bouche non évaluable ","A szuszpenzió... Egyéb érzés a szájban","Het drankje (suspensie)…. Ander gevoel in de mond"
"j375416-j375416_u934ca6-c","<p>Yes</p>","Ano   ","Да   ","Oui   ","Ja","Oui   ","Oui   ","כן","Sí ","예","Yes","Tak","Ja","Yes","Ja","Sí ","Ja","Yes","Kyllä   ","Sim","نعم","Evet  ","Sí ","Ja","Oui   ","Igen","Ja"
"j375416-j375416_k92080d-c","<p>No</p>","Ne","Нет","Non","Nej","Non","Non","לא","No","아니요","No","Nie","Nein","No","Nej","No","Nein","No","Ei","Não","لا","Hayır","No","Nee","Non","Nem","Nee"
"ja1a47f-q","The suspension ….<br/><br>
Feels creamy","Suspenze vyvolává pocit, který lze popsat jako ... krémový","Суспензия ощущается как... Что-то кремообразное","La suspension est… Crémeuse","Suspensionen ... Känns krämig","La suspension donne une ... Sensation crémeuse","La suspension…. Est crémeuse","התרחיף …. מרגיש קרמי","La suspensión ... Se siente cremosa","현탁액은... 크림 같은 느낌","The suspension ….
Feels creamy","Zawiesina… Jest kremowa","Die Suspension … fühlt sich cremig an","The suspension ….
Feels creamy","Suspensionen ... Känns krämig","La sospensione... È cremosa","Die Suspension … fühlt sich cremig an","The suspension ….
Feels creamy","Suspensio... Tuntuu täyteläiseltä","A suspensão... Parece cremosa","المعلق... له ملمس كريمي","Süspansiyon .... Kremamsı bir his bırakıyor","La suspensión produce una.... Sensación cremosa","De suspensie ... Voelt romig aan","Le médicament …. Est crémeux","A szuszpenzió... Krémes","Het drankje (suspensie)…. Voelt romig aan"
"ja1a47f-ja1a47f_ua2cc87-c","<p>Yes</p>","Ano   ","Да   ","Oui   ","Ja","Oui   ","Oui   ","כן","Sí ","예","Yes","Tak","Ja","Yes","Ja","Sí ","Ja","Yes","Kyllä   ","Sim","نعم","Evet  ","Sí ","Ja","Oui   ","Igen","Ja"
"ja1a47f-ja1a47f_w6d7756-c","<p>No</p>","Ne","Нет","Non","Nej","Non","Non","לא","No","아니요","No","Nie","Nein","No","Nej","No","Nein","No","Ei","Não","لا","Hayır","No","Nee","Non","Nem","Nee"
"k41c2d1-q","Is difficult to swallow:<br/><br>
Too big","Obtížně se polyká: příliš velké","Трудно проглатывается: Слишком объемная","Difficile à avaler : Trop gros","Är svår att svälja: För stor","Est difficile à avaler : Trop grosse","Est difficile à avaler : C’est trop gros","קשה לבליעה: גדול מדי","Es difícil de tragar: Demasiado grande","삼키기 어려움: 너무 크다.","Is difficult to swallow:
Too big","Trudność w przełknięciu: Dawka jest za duża","Lässt sich schwer schlucken: zu groß","Is difficult to swallow:
Too big","Är svår att svälja: För stor","È difficile da inghiottire:  È troppo grande","Lässt sich schwer schlucken: zu groß","Is difficult to swallow:
Too big","On vaikeaa niellä: Liian iso","É difícil de engolir: Muito grande","هل المعلق صعب البلع: كبير للغاية","Zor yutuluyor: Çok büyük","Es difícil de tragar: Demasiado grande","Is moeilijk door te slikken: Te groot","Est difficile à avaler : C’est trop gros","Nehéz lenyelni: Túl nagy","Is moeilijk door te slikken: Te groot"
"k41c2d1-k41c2d1_t90a700-c","<p>Yes</p>","Ano   ","Да   ","Oui   ","Ja","Oui   ","Oui   ","כן","Sí ","예","Yes","Tak","Ja","Yes","Ja","Sí ","Ja","Yes","Kyllä   ","Sim","نعم","Evet  ","Sí ","Ja","Oui   ","Igen","Ja"
"k41c2d1-k41c2d1_ibf4658-c","<p>No</p>","Ne","Нет","Non","Nej","Non","Non","לא","No","아니요","No","Nie","Nein","No","Nej","No","Nein","No","Ei","Não","لا","Hayır","No","Nee","Non","Nem","Nee"
"wf1135f-q","Is difficult to swallow:<br/><br>
Too much","Obtížně se polyká: velké množství","Трудно проглатывается: Слишком много","Difficile à avaler : Trop grande quantité","Är svår att svälja: För mycket","Est difficile à avaler : Trop","Est difficile à avaler : Il y en a trop","קשה לבליעה: כמות גדולה מדי","Es difícil de tragar: Demasiada cantidad","삼키기 어려움: 너무 많다.","Is difficult to swallow:
Too much","Trudność w przełknięciu: Dawka jest zbyt obfita","Lässt sich schwer schlucken: zu viel","Is difficult to swallow:
Too much","Är svår att svälja: För stor mängd","È difficile da inghiottire:  È in quantità eccessiva","Lässt sich schwer schlucken: zu viel","Is difficult to swallow:
Too much","On vaikeaa niellä: Liian suuri määrä","É difícil de engolir: Demasiada quantidade","هل المعلق صعب البلع: دسم للغاية","Zor yutuluyor: Çok fazla","Es difícil de tragar: Demasiado","Is moeilijk door te slikken: Te veel","Est difficile à avaler : Il y en a trop","Nehéz lenyelni: Túl sok","Is moeilijk door te slikken: Te veel"
"wf1135f-wf1135f_nd4f2ca-c","<p>Yes</p>","Ano   ","Да   ","Oui   ","Ja","Oui   ","Oui   ","כן","Sí ","예","Yes","Tak","Ja","Yes","Ja","Sí ","Ja","Yes","Kyllä   ","Sim","نعم","Evet  ","Sí ","Ja","Oui   ","Igen","Ja"
"wf1135f-wf1135f_zb31c8a-c","<p>No</p>","Ne","Нет","Non","Nej","Non","Non","לא","No","아니요","No","Nie","Nein","No","Nej","No","Nein","No","Ei","Não","لا","Hayır","No","Nee","Non","Nem","Nee"
"p68a5a7-q","Is difficult to swallow:<br/><br>
Sticky","Obtížně se polyká: lepkavý","Трудно проглатывается: Липкая","Difficile à avaler : Collant","Är svår att svälja: Klibbig","Est difficile à avaler : Collante","Est difficile à avaler : C’est collant","קשה לבליעה: דביק","Es difícil de tragar: Pegajosa","삼키기 어려움: 끈적끈적하다.","Is difficult to swallow:
Sticky","Trudność w przełknięciu: Kleista","Lässt sich schwer schlucken: klebrig","Is difficult to swallow:
Sticky","Är svår att svälja: Klibbigt","È difficile da inghiottire: È appiccicosa","Lässt sich schwer schlucken: klebrig","Is difficult to swallow:
Sticky","On vaikeaa niellä: Tahmeaa","É difícil de engolir: Pegajosa","هل المعلق صعب البلع: لزج","Zor yutuluyor: Yapışkan","Es difícil de tragar: Pegajosa","Is moeilijk door te slikken: Plakkerig","Est difficile à avaler : C’est collant","Nehéz lenyelni: Ragadós","Is moeilijk door te slikken: Plakkerig"
"p68a5a7-p68a5a7_p1c35a2-c","<p>Yes</p>","Ano   ","Да   ","Oui   ","Ja","Oui   ","Oui   ","כן","Sí ","예","Yes","Tak","Ja","Yes","Ja","Sí ","Ja","Yes","Kyllä   ","Sim","نعم","Evet  ","Sí ","Ja","Oui   ","Igen","Ja"
"p68a5a7-p68a5a7_a9e29e3-c","<p>No</p>","Ne","Нет","Non","Nej","Non","Non","לא","No","아니요","No","Nie","Nein","No","Nej","No","Nein","No","Ei","Não","لا","Hayır","No","Nee","Non","Nem","Nee"
"oc357ec-q","Is difficult to swallow:<br/><br>
Other feeling in mouth","Obtížně se polyká: jiný pocit v ústech","Трудно проглатывается: Другие ощущения","Difficile à avaler : Autre sensation dans la bouche","Är svår att svälja: Annan känsla i munnen.","Est difficile à avaler : Autre sensation dans la bouche","Est difficile à avaler : Autre sensation dans la bouche","קשה לבליעה: תחושה אחרת בפה","Es difícil de tragar: Otra sensación en la boca","삼키기 어려움: 그 외의 삼키기 어려운 이유","Is difficult to swallow:
Other feeling in mouth","Trudność w przełknięciu: Inny powód trudności w przełknięciu","Lässt sich schwer schlucken: Anderes Gefühl im Mund","Is difficult to swallow:
Other feeling in mouth","Är svår att svälja: Annan typ av munkänsla","È difficile da inghiottire: Dà un’altra sensazione in bocca","Lässt sich schwer schlucken: Anderes Gefühl im Mund","Is difficult to swallow:
Other feeling in mouth","On vaikeaa niellä: Muunlainen suutuntuma","É difícil de engolir: Outra sensação na boca","هل المعلق صعب البلع: شعور آخر بالفم","Zor yutuluyor: Ağızda başka bir his bırakıyor","Es difícil de tragar: Otra sensación en la boca","Is moeilijk door te slikken: Ander gevoel in de mond","Est difficile à avaler : Autre sensation dans la bouche","Nehéz lenyelni: Egyéb érzés a szájban","Is moeilijk door te slikken: Ander gevoel in de mond"
"oc357ec-oc357ec_ve983e8-c","<p>Yes</p>","Ano   ","Да   ","Oui   ","Ja","Oui   ","Oui   ","כן","Sí ","예","Yes","Tak","Ja","Yes","Ja","Sí ","Ja","Yes","Kyllä   ","Sim","نعم","Evet  ","Sí ","Ja","Oui   ","Igen","Ja"
"oc357ec-oc357ec_x861467-c","<p>No</p>","Ne","Нет","Non","Nej","Non","Non","לא","No","아니요","No","Nie","Nein","No","Nej","No","Nein","No","Ei","Não","لا","Hayır","No","Nee","Non","Nem","Nee"
"z10069e-q","Is difficult to swallow:<br/><br>
Oily","Obtížně se polyká: mastný","Трудно проглатывается: Масляная","Difficile à avaler : Huileux","Är svår att svälja: Oljig","Est difficile à avaler : Grasse","Est difficile à avaler : C’est gras","קשה לבליעה: שמנוני","Es difícil de tragar: Aceitosa","삼키기 어려움: 기름지다.","Is difficult to swallow:
Oily","Trudność w przełknięciu: Oleista","Lässt sich schwer schlucken: ölig","Is difficult to swallow:
Oily","Är svår att svälja: Oljigt","È difficile da inghiottire: È oleosa","Lässt sich schwer schlucken: ölig","Is difficult to swallow:
Oily","On vaikeaa niellä: Rasvaista","É difícil de engolir: Outra sensação na boca","هل المعلق صعب البلع: زيتي","Zor yutuluyor: Yağlı","Es difícil de tragar: Aceitosa","Is moeilijk door te slikken: Olieachtig","Est difficile à avaler : C’est gras","Nehéz lenyelni: Olajos","Is moeilijk door te slikken: Vettig"
"z10069e-z10069e_j14bb2d-c","<p>Yes</p>","Ano   ","Да   ","Oui   ","Ja","Oui   ","Oui   ","כן","Sí ","예","Yes","Tak","Ja","Yes","Ja","Sí ","Ja","Yes","Kyllä   ","Sim","نعم","Evet  ","Sí ","Ja","Oui   ","Igen","Ja"
"z10069e-z10069e_k359f12-c","<p>No</p>","Ne","Нет","Non","Nej","Non","Non","לא","No","아니요","No","Nie","Nein","No","Nej","No","Nein","No","Ei","Não","لا","Hayır","No","Nee","Non","Nem","Nee"
"cdf416b-q","What was the feeling?","Jaký to byl pocit?","На что была похожа суспензия?","Quelle est la sensation dans ta bouche?","Hur kändes den? ","Quel était le sentiment ?","Quelle était la sensation ?","מה הייתה התחושה?","¿Cuál era la sensación?","자세하게 적어주십시오.","What was the feeling?","PROSZĘ OKREŚLIĆ","Um was für ein Gefühl handelte es sich?","What was the feeling?","Hur kändes det?","Che sensazione dà?","Um was für ein Gefühl handelte es sich?","What was the feeling?","Millainen?","Qual era a sensação?","ما هو هذا الشعور؟","Ağızda bıraktığı his nasıldı?","¿Cuál fue la sensación?","Welk gevoel had het?","Quelle était la sensation ?","Mit éreztél?","Wat was het gevoel?"
"k431b51-q","Is difficult to swallow:<br/><br>
Not assessable","Obtížně se polyká: Nelze vyhodnotit","Трудно проглатывается: не поддается оценке","Difficile à avaler : Non évaluable","Är svår att svälja: Kan inte bedöma","Est difficile à avaler : Je ne sais pas","Est difficile à avaler : Non évaluable","קשה לבליעה: לא ניתן להערכה","Es difícil de tragar: No se puede evaluar","삼키기 어려움: 평가할 수 없음","Is difficult to swallow:
Not assessable","Trudność w przełknięciu: Niemożliwa do oceny","Lässt sich schwer schlucken: nicht bewertbar","Is difficult to swallow:
Not assessable","Är svår att svälja: Jag kan inte säga varför","È difficile da inghiottire: Difficoltà a inghiottire non valutabile","Lässt sich schwer schlucken: nicht bewertbar","Is difficult to swallow:
Not assessable","On vaikeaa niellä: Ei arvioitavissa oleva nielemisvaikeus","É difícil de engolir: Não avaliável","هل المعلق صعب البلع: هل المعلق صعب البلع: لم أستطع التقييم","Zor yutuluyor: Değerlendirilemiyor","Es difícil de tragar: No evaluable","Is moeilijk door te slikken: Kan ik niet zeggen","Est difficile à avaler : Non évaluable","Nehéz lenyelni: Nem értékelhető","Is moeilijk door te slikken: Niet beoordeelbaar"
"k431b51-k431b51_i9ee528-c","<p>Yes</p>","Ano   ","Да   ","Oui   ","Ja","Oui   ","Oui   ","כן","Sí ","예","Yes","Tak","Ja","Yes","Ja","Sí ","Ja","Yes","Kyllä   ","Sim","نعم","Evet  ","Sí ","Ja","Oui   ","Igen","Ja"
"k431b51-k431b51_v4c15a5-c","<p>No</p>","Ne","Нет","Non","Nej","Non","Non","לא","No","아니요","No","Nie","Nein","No","Nej","No","Nein","No","Ei","Não","لا","Hayır","No","Nee","Non","Nem","Nee"
"yf9209c-q","The suspension ….<br/><br>
Has a strange aftertaste","Suspenze ... má divnou přetrvávající chuť","Суспензия... Имеет необычное послевкусие","La suspension... A un arrière-goût étrange","Suspensionen ... Har en konstig eftersmak","La suspension …. A un arrière-goût étrange","La boisson …. A un arrière-goût bizarre","התרחיף …. עם טעם לוואי מוזר","La suspensión... Deja un gusto extraño en la boca","음료는... 뒷맛이 이상하다.","The suspension ….
Has a strange aftertaste","Zawiesina… Ma dziwny posmak","Die Suspension ... hat einen seltsamen Nachgeschmack","The suspension ….
Has a strange aftertaste","Suspensionen ... Har en konstig eftersmak","La sospensione... Ha un retrogusto strano","Die Suspension ... hat einen seltsamen Nachgeschmack","The suspension ….
Has a strange aftertaste","Suspension ominaisuus Outo jälkimaku","A suspensão... Tem um sabor residual estranho","المعلق... له مذاق غريب بعد البلع","Süspansiyon .... Ağızda tuhaf bir tat bırakıyor","La suspensión... Tiene un regusto extraño","De suspensie... Heeft een vreemde nasmaak","Le médicament …. A un arrière-goût bizarre","A szuszpenzió... Furcsa utóízt hagy","Het drankje …. Heeft een vreemde nasmaak"
